env_id,task_type,instruction,workflow,obj_tags,rob_tags,iter_tags,query,query_selections,answer
Tabletop-Insert-WithOrientation-v1,interactive,insert the board on the wall,"[""rotate the stick along y-axis"", ""insert it to the hole""]","[""geometric_reasoning"", ""orientation_operation""]",[],"[""planning_at_start"", ""failure_driven_adaptation""]",What is the correct orientation for inserting the blue object?,"{""A"": ""Rotate the object vertically to match the slot height"", ""B"": ""Keep the object flat on the table and push it in""}",A
Tabletop-Keep-Pivot-Balance-v1,interactive,Balance the long board on the triangular prism and place the cubes to maintain balance,"[""put the left cube on the pivot"", ""put the right cube on the pivot"", ""move them to make the pivot balance""]","[""mass_estimation""]",[],"[""tool_using"", ""learning_physical_from_execution"", ""failure_driven_adaptation""]",which cube is heavier,"{""A"": ""Cube A"", ""B"": ""Cube B""}",A
Tabletop-Lift-Book-v1,interactive,lift the book up to the higher platform,"[""move the book to the side of the book"", ""pick the book from the short side"", ""lift the book and put it on the high box""]","[""geometric_reasoning"", ""orientation_operation"", ""scale_analysis""]","[""morphological_reasoning""]","[""planning_at_start""]",How to move the book to the higher platform?,"{""A"": ""Directly grasp the book and lift it up to the higher platform"", ""B"": ""Push the book to create an overhang at the table edge, then grasp and lift"", ""C"": ""Attempt to slide fingers underneath the book without creating an overhang first""}",B
Tabletop-Merge-Box-v1,interactive,Merge ball and boxs up ,"[""pick the ball and put it on the hole of the box"", ""pick the cube which have plat on the top and put it on the ball""]","[""geometric_reasoning"", ""orientation_operation""]",[],[],which box is to be inserted,"{""A"": ""Box A"", ""B"": ""Box B""}",B
Tabletop-Merge-USB-v1,interactive,Pick up the USB body and insert it into the USB hub,"[""rotate the usb body"", ""align the body with the hub"", ""insert it to the usb hub""]","[""geometric_reasoning""]",[],"[""planning_at_start""]",What is the correct orientation for inserting the USB?,"{""A"": ""Align the USB connector with the port and insert"", ""B"": ""Rotate the USB 180 degrees and insert with the port facing down""}",B
Tabletop-Move-Balls-WithDustpan-v1,interactive,move all the balls into the holder with dustpan,"[""pick the dustpan"", ""push all the ball into the dustpan with the fixed holder"", ""move all the ball into the container with the dustpan""]","[""mass_estimation"", ""scale_analysis"", ""geometric_reasoning""]",[],"[""tool_using"", ""learning_physical_from_execution""]",What strategy should be used to collect multiple balls efficiently?,"{""A"": ""Collect all balls at once with a single sweeping motion"", ""B"": ""Move the balls one by one""}",A
Tabletop-Move-Balls-WithPivot-v1,interactive,move all the balls into the dustpan as fast as you can ,"[""pick the stick"", ""push the ball into the dustban with stick"", ""pick other balls ""]","[""scale_analysis"", ""geometric_reasoning""]",[],"[""tool_using"", ""learning_physical_from_execution"", ""planning_at_start""]",What is the most efficient way to collect all the balls?,"{""A"": ""Pick the balls to the dustpan one by one"", ""B"": ""Use the pivot to collect all the balls""}",B
Tabletop-Move-Cross-WithStick-v1,interactive,Use the stick to move the small cube along the cross-shaped path to the target position ,"[""pick the stick"", ""align it with the nearst entry"", ""push the cube till the next entry"", ""aligh the stick with the next entry"", ""push the cube to the marker""]",[],[],[],How should the robot navigate the cube through the T-junction?,"{""A"": ""Push the cube to the junction with stick, then reposition the stick for the turn"", ""B"": ""Directly pick up the cube to the target position""}",A
Tabletop-Move-Cube-DynamicFriction-v1,interactive,move the cube to the marker,"[""pick the cube and put it on the marker""]","[""friction_coefficient_assessment"", ""mass_estimation""]",[],"[""planning_at_start"", ""learning_physical_from_execution"", ""failure_driven_adaptation""]",What's the best approach to move a cube with unpredictable friction?,"{""A"": ""Lift the cube and directly place it to the target position"", ""B"": ""Slide the cube while maintaining contact with the surface"", ""C"": ""Pick up blocks, re-pick them up if it falls""}",B
Tabletop-Move-Cube-WithHolder-v1,interactive,move the cube to the marker and put the holder on the cube ,"[""pull the holder"", ""pick the cube and put it on the holder"", ""pick the holder and put it on the cube""]","[""scale_analysis"", ""geometric_reasoning"", ""sequential_mechanism_processing""]",[],"[""planning_at_start""]",What's the best sequence of actions for this task?,"{""A"": ""Move the cube to the marker first, then place the holder on top"", ""B"": ""Move the holder first, then place the cube to the marker, finally put the holder on the cube""}",B
Tabletop-Move-Cube-WithPivot-v1,interactive,move the cube with the pivot to the marker ,"[""pick the stick and push it between two cylinder on the desk"", ""rotate the stick till the cube on the marker""]","[""mass_estimation""]","[""action_fitting"", ""Robot.DYN_TUNE""]","[""planning_at_start"", ""tool_using"", ""learning_physical_from_execution"", ""failure_driven_adaptation""]",Why we need the pivot to move the cube?,"{""A"": ""The cube is too heavy to lift"", ""B"": ""The cube is too far to grasp"", ""C"": ""The pivot is decorative and serves no functional purpose""}",B
Tabletop-Move-Line-WithStick-v1,interactive,Use the stick to move the small cube along the straight line path to the target position ,"[""pick the stick and aligh it with the line entry"", ""push the cube till the cube achieve the marker""]","[""geometric_reasoning"", ""orientation_operation""]","[""action_fitting""]","[""planning_at_start"", ""tool_using""]",What approach should be used to move the cube along the path?,"{""A"": ""Use the stick to push the cube"", ""B"": ""Directly push the cube with continuous contact"", ""C"": ""Pick the cube up and place it to the target""}",B
Tabletop-Open-Cabinet-WithDoor-v1,interactive,open the cabinet door,"[""close the door"", ""open the cabinet door""]","[""obstacle_handling""]","[""action_fitting""]","[""planning_at_start""]",What's the correct sequence of actions to open the cabinet?,"{""A"": ""Close the door first, then access the cabinet"", ""B"": ""Open the cabinet directly without interacting with the door""}",A
Tabletop-Open-Cabinet-WithObstacle-v1,interactive,open the cabinet door,"[""push the box"", ""open the cabinet door""]","[""obstacle_handling""]",[],"[""planning_at_start""]",What is the efficient way to open the cabinet,"{""A"": ""Move the board away, then open the cabinet"", ""B"": ""Open the cabinet directly""}",A
Tabletop-Open-Cabinet-WithSwitch-v1,interactive,"open the door, notice the switch will control the state of the door ","[""turn on the trigger"", ""open the cabinet door""]","[""locking_system_comprehension""]",[],"[""planning_at_start"", ""failure_driven_adaptation""]",What is the efficient way to open the cabinet,"{""A"": ""Open the cabinet directly"", ""B"": ""Push the switch to open the cabinet""}",B
Tabletop-Open-Door-WithCabinet-v1,interactive,open the door,"[""close the cabinet"", ""open the door""]","[""obstacle_handling""]",[],"[""planning_at_start""]",What is the main challenge in opening this door?,"{""A"": ""The door is too heavy to push"", ""B"": ""The cabinet door is in the way to open the door"", ""C"": ""We can directly open the door""}",B
Tabletop-Open-Door-WithObstacle-v1,interactive,open the door,"[""move the blue board"", ""open the door""]","[""obstacle_handling""]",[],"[""planning_at_start"", ""failure_driven_adaptation""]",What is the main challenge in opening this door?,"{""A"": ""The door is unreachable"", ""B"": ""The door is too heavy to be opened directly"", ""C"": ""There is an obstacle blocking the door's path""}",C
Tabletop-Pick-Cube-Slippery-v1,interactive,Pick the slippery cube ,"[""push the left cube"", ""push the right cube"", ""pick the slipper cube and put it on the marker""]","[""friction_coefficient_assessment""]","[""action_fitting""]","[""planning_at_start"", ""tool_using"", ""learning_physical_from_execution"", ""failure_driven_adaptation""]",Which cube is slippery?,"{""A"": ""A"", ""B"": ""B""}",B
Tabletop-Pick-Cube-WithDoor-v1,interactive,put the cube to the marker,"[""open the door"", ""push the cube to the marker""]","[""obstacle_handling""]","[""kinematic_constraint_awareness"", ""action_fitting""]","[""planning_at_start"", ""failure_driven_adaptation""]",What is the correct sequence to retrieve the cube?,"{""A"": ""Reach for the cube without opening the door"", ""B"": ""Open the door first, then pick the cube""}",B
Tabletop-Pick-Cube-WithStick-v1,interactive,Use the stick to move the small cube along the T-shaped path to the target position ,"[""pick the stick and put it on the entry "", ""push the cube with the stick to the T point"", ""pick up the stick and put it to the space between the wall and the cube"", ""rotate the stick and push the cube to the marker""]","[""geometric_reasoning"", ""orientation_operation""]","[""action_fitting""]","[""planning_at_start"", ""tool_using""]",Why we need a stick to move the cube?,"{""A"": ""Because the cube is too small and the path is too narrow"", ""B"": ""Because the cube is too heavy to move"", ""C"": ""Because the cube is too slippery""}",A
Tabletop-Pick-Cylinder-WithObstacle-v1,interactive,pick up the center cylinder,"[""push left every cylinder"", ""pick the center cylinder""]","[""locking_system_comprehension""]","[""kinematic_constraint_awareness""]","[""planning_at_start"", ""failure_driven_adaptation"", ""experience_utilization""]",How to move the center cylinder to the goal?,"{""A"": ""Pick up the center cylinder directly and move it to the goal"", ""B"": ""Find the dynamic obstacle cylinders and push them away to move the center cylinder to the goal"", ""C"": ""Put one of the dynamic cylinder to the goal""}",B
Tabletop-Pick-Eraser-FromHolder-v1,interactive,Pick up the eraser in the holder and place it to the marker,"[""rotate the holder"", ""rotate the hodler"", ""pick the holder"", ""pick the earser and put it on the marker""]","[""geometric_reasoning"", ""orientation_operation""]","[""morphological_reasoning""]","[""planning_at_start"", ""experience_utilization""]",How can we pick the eraser from the holder?,"{""A"": ""Pick the eraser directly"", ""B"": ""Pour out the rubber from the holder""}",B
Tabletop-Pick-Object-FromCabinet-v1,interactive,pick up the object from the cabinet ,"[""open the cabinet door "", ""pick the object in the cabinet "", ""put it on the marker""]","[""obstacle_handling"", ""geometric_reasoning""]","[""perceptual_perspective_optimization"", ""morphological_reasoning"", ""action_fitting""]","[""planning_at_start"", ""failure_driven_adaptation""]",What's the object in the cabinet?,"{""A"": ""A book"", ""B"": ""A cube"", ""C"": ""A pen""}",A
Tabletop-Put-Balls-IntoContainer-v1,interactive,move all the balls into the dustpan as fast as you can ,"[""pick the dustpan"", ""push all the ball in to the dustpan with the fixed body"", ""move the dustpand upward"", ""put all balls into the container""]","[""geometric_reasoning""]","[""action_fitting""]","[""tool_using"", ""learning_physical_from_execution"", ""planning_at_start"", ""failure_driven_adaptation""]",What is the most efficient way to get all the balls into the dustpan?,"{""A"": ""Pick up and place each ball individually into the dustpan"", ""B"": ""Push multiple balls at once with arm""}",A
Tabletop-Put-Cube-IntoCabinetWithObstacle-v1,interactive,put the object into the cabinet,"[""open the cabinet door"", ""pull/push the obstacle"", ""pick the cube and put it in the cabinet""]","[""obstacle_handling"", ""geometric_reasoning""]","[""perceptual_perspective_optimization"", ""morphological_reasoning"", ""action_fitting""]","[""planning_at_start"", ""failure_driven_adaptation""]",What is the best approach to put the cube into the cabinet,"{""A"": ""Move the obstacle first, then place the cube into the cabinet"", ""B"": ""Try to navigate around the obstacle without moving it""}",A
Tabletop-Put-Cube-IntoMicrowave-v1,interactive,put the cube into the microwave ,"[""open the microwave"", ""pick the cube and put it into the microwave"", ""close the door""]","[""obstacle_handling"", ""geometric_reasoning""]","[""action_fitting"", ""morphological_reasoning""]","[""planning_at_start"", ""failure_driven_adaptation""]",What is the correct order of actions to put the cube into the microwave?,"{""A"": ""Pick up the cube first, then open the microwave door and place the cube inside"", ""B"": ""Open the microwave door first, then pick and place the cube inside"", ""C"": ""Directly pick the cube into microwave""}",B
Tabletop-Rotate-Cube-Twice-v1,interactive,rotate the cube till the green face upward,"[""rotate the cube for 90"", ""rotate the cube for 90""]","[""orientation_operation""]","[""action_fitting""]","[""planning_at_start"", ""failure_driven_adaptation""]",Where is the green face?,"{""A"": ""On the top of the cube"", ""B"": ""On the side of the cube"", ""C"": ""On the bottom of the cube""}",C
Tabletop-Seek-Holder-InCabinet-v1,interactive,"Find the holder containing an eraser the cabinet, put it to the marker","[""open cabinet door"", ""pick left holder"", ""pick right holder"", ""pick the holder containing the eraser"", ""put the eraser to the marker""]","[""obstacle_handling"", ""geometric_reasoning"", ""sequential_mechanism_processing""]","[""action_fitting"", ""morphological_reasoning"", ""perceptual_perspective_optimization""]","[""planning_at_start"", ""experience_utilization""]",Which holder has a eraser?,"{""A"": ""A"", ""B"": ""B""}",A
Tabletop-Seek-Objects-InCabinet-v1,interactive,"Find the apple and the plate in the cabinet, put them on the table","[""open the drawer"", ""pick the plate and put it on the marker"", ""open the cabinet door"", ""pick the apple and put it on the plate""]","[""obstacle_handling""]","[""action_fitting"", ""morphological_reasoning"", ""perceptual_perspective_optimization""]","[""failure_driven_adaptation"", ""planning_at_start"", ""experience_utilization""]",Where are the apple and plate?,"{""A"": ""The apple is in the drawer, the plate is in cabinet"", ""B"": ""The apple is in the cabinet, the plate is in drawer"", ""C"": ""Both of the are in cabinet"", ""D"": ""Both of the are in drawer""}",B
Tabletop-Seek-Objects-WithObstacle-v1,interactive,find the cube in the cabinet and pick it up,"[""open the door"", ""pick the cube"", ""put it on the marker""]","[""obstacle_handling""]","[""morphological_reasoning"", ""action_fitting"", ""perceptual_perspective_optimization""]","[""failure_driven_adaptation"", ""planning_at_start""]",Where is the cube?,"{""A"": ""In the drawer"", ""B"": ""In the cabinet""}",B
Tabletop-Slide-Cube-Into-Container-v1,interactive,Slide a cube down a slope into a container,"[""move the cube target at the dustpan"", ""push the cube down the slope""]",[],[],[],How can we put the cube to the container?,"{""A"": ""Slide it from the top of the slope"", ""B"": ""Put the cube to the dustpan directly""}",A
Tabletop-Slide-Cube-WithPath-v1,interactive,Slide a cube down a slope to the marker ,"[""pull the cube target at the marker"", ""push the cube down the slope""]","[""friction_coefficient_assessment"", ""orientation_operation"", ""geometric_reasoning""]","[""action_fitting""]","[""planning_at_start""]",Where should the block be placed to slide to target position?,"{""A"": ""A"", ""B"": ""B""}",B
Tabletop-Stack-Books-OnBox-v1,interactive,Stack all things on the table,"[""pick the green book to the side of the box"", ""pick it with the thin side"", ""put it on the red book""]","[""orientation_operation"", ""geometric_reasoning""]","[""perceptual_perspective_optimization""]","[""planning_at_start""]",Which book should be stacked on top of the other?,"{""A"": ""The red book should be placed on top of the green book"", ""B"": ""The green book should be placed on top of the red book""}",B
Tabletop-Stack-Books-v1,interactive,Stack all things on the table,"[""pikc the green book on the table"", ""pick the red book on the green one""]","[""scale_analysis"", ""orientation_operation""]","[""perceptual_perspective_optimization""]","[""planning_at_start""]",Which book should be stacked on top of the other?,"{""A"": ""The red book should be placed on top of the green book"", ""B"": ""The green book should be placed on top of the red book""}",A
Tabletop-Stack-Cube-WithColor-v1,interactive,Stack the cube with same color,"[""rotate the farest cube along y-axis"", ""pick the nearest cube and put it on the marker"", ""put the farest cube on the cube""]","[""orientation_operation""]","[""action_fitting""]","[""planning_at_start"", ""failure_driven_adaptation""]",How many degrees should A be rotated along y axis(the axis vertical to the white face) to make it same color with B?,"{""A"": ""90"", ""B"": ""180"", ""C"": ""270""}",A
Tabletop-Stack-LongObjects-v1,interactive,stack all the objects to make it most high,"[""stack the mid cube and the longest cube"", ""stack the shortest cube and the mid one ""]","[""scale_analysis"", ""orientation_operation"", ""geometric_reasoning"", ""obstacle_handling""]","[""action_fitting""]","[""failure_driven_adaptation"", ""planning_at_start""]",Which cube is the highest?,"{""A"": ""A"", ""B"": ""B"", ""C"": ""C""}",C
Tabletop-Close-Cabinet-v1,primitive,close the cabinet door,,,,,,,
Tabletop-Close-Door-v1,primitive,close the door,,,,,,,
Tabletop-Close-Drawer-v1,primitive,close the drawer,,,,,,,
Tabletop-Close-Microwave-v1,primitive,close the microwave,,,,,,,
Tabletop-Open-Cabinet-v1,primitive,open the cabinet door,,,,,,,
Tabletop-Open-Door-v1,primitive,open the door ,,,,,,,
Tabletop-Open-Drawer-v1,primitive,open the drawer,,,,,,,
Tabletop-Open-Microwave-v1,primitive,open the microwave,,,,,,,
Tabletop-Open-Trigger-v1,primitive,turn on the trigger,,,,,,,
Tabletop-Pick-Apple-v1,primitive,pick the apple to the marker,,,,,,,
Tabletop-Pick-Book-FromShelf-v1,primitive,Find and pick the book from the bookshelf and put it on the marker ,,,,,,,
Tabletop-Pick-Bottle-v1,primitive,pick up the bottle and put it on the marker,,,,,,,
Tabletop-Pick-Cube-ToHolder-v1,primitive,"pick up the cube, put it in the holder",,,,,,,
Tabletop-Pick-Pen-v1,primitive,pick up the pen and put it to the marker,,,,,,,
Tabletop-Pull-Pivot-v1,primitive,pull the pivot to the target area,,,,,,,
Tabletop-Put-Ball-IntoContainer-v1,primitive,put the ball into the container ,,,,,,,
Tabletop-Put-Fork-OnPlate-v1,primitive,put the fork on the plate,,,,,,,
Tabletop-Rotate-Cube-v1,primitive,rotate the cube till the white face upward,,,,,,,
Tabletop-Rotate-Holder-v1,primitive,rotate the holder till the hole upward,,,,,,,
Tabletop-Rotate-USB-v1,primitive,Rotate the USB body for 90 degree with plug face left ,,,,,,,
Tabletop-Stack-Cubes-v1,primitive,stack all the cube,,,,,,,
